City_ID,City,Country,Max Temp,Weather description,Lat,Lon,Hotel Name
236,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
239,Carson City,US,76.73,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
243,Altay,CN,78.48,clear sky,47.8667,88.1167,Jinqiao Hotel
246,Hervey Bay,AU,77.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
252,Kulhudhuffushi,MV,82.36,overcast clouds,6.6221,73.07,Haajy Guest House 1
254,Madang,PG,83.19,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
258,Rantepao,ID,80.06,few clouds,-2.9701,119.8978,Hotel Luta Resort
259,Port Blair,IN,78.84,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
260,Saint-Louis,SN,84.16,overcast clouds,16.3333,-15.0,
261,Komsomolskiy,UZ,76.42,few clouds,40.4272,71.7189,Ikathouse
262,Miri,MY,89.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
263,Norsup,VU,78.39,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
269,Miranda,CO,75.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
271,Qui Nhon,VN,85.17,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
275,Coahuayana,MX,78.37,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
281,Salalah,OM,80.69,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
288,Bentiu,SS,80.87,broken clouds,9.2333,29.8333,Mandela hôtel
289,Big Spring,US,83.68,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
291,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
295,Cayenne,GF,78.84,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
296,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
308,Nago,JP,88.65,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
312,Banda Aceh,ID,80.17,overcast clouds,5.5577,95.3222,Sulthan Hotel International
316,Grand-Lahou,CI,79.3,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
324,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
325,Bubaque,GW,77.79,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
327,Kiunga,PG,83.16,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
330,Havelock,US,76.01,scattered clouds,34.8791,-76.9013,Sherwood Motel
333,Mitsamiouli,KM,77.52,clear sky,-11.3847,43.2844,Foyer ADM
334,Vanimo,PG,86.85,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
336,Alyangula,AU,79.88,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
339,Tahoua,NE,84.31,clear sky,14.8888,5.2692,Bungalows Guesthouse
345,Biak,ID,83.17,few clouds,-0.9131,122.8766,Penginapan Kim
346,Wewak,PG,84.88,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
356,Malakal,SS,82.45,broken clouds,9.5334,31.6605,Nile Palace Hotel
357,Male,MV,83.82,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
361,Hithadhoo,MV,84.09,broken clouds,-0.6,73.0833,Scoop Guest House
366,Kavieng,PG,81.09,light rain,-2.5744,150.7967,Nusa Island Retreat
367,Trincomalee,LK,81.64,overcast clouds,8.5711,81.2335,Welcombe Hotel
374,Boa Vista,BR,76.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
375,Ixtapa,MX,80.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
377,Nanakuli,US,83.57,few clouds,21.3906,-158.1547,Camp Pālehua
384,Gwadar,PK,86.67,clear sky,25.1216,62.3254,Sadaf Resort
389,Sinjai,ID,82.22,broken clouds,-5.1241,120.25299999999999,Wisma Sandika
394,Am Timan,TD,83.64,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
395,Yanam,IN,90.0,broken clouds,16.7333,82.2167,The Regency Hotel
401,Jiaozuo,CN,88.14,clear sky,35.2397,113.2331,Days Hotel and Suites Jiaozuo
402,Sarangani,PH,84.36,overcast clouds,5.4033,125.4636,Ballistic Islet
403,Tallahassee,US,80.69,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
405,Alenquer,BR,79.14,broken clouds,-1.9417,-54.7383,Josilene Castro
408,Nishihara,JP,87.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
409,Makir,PH,86.18,broken clouds,7.0308,124.3042,Kurintem
410,Meulaboh,ID,78.06,overcast clouds,4.1363,96.1285,Kost Pria
