City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Saleaula,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
67,Ipiau,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
68,Rikitea,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
69,Port Lincoln,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
70,Lebu,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
71,Paka,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
72,Clyde River,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
73,Caravelas,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
74,Manado,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
75,Axim,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
76,Honningsvag,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
77,Bubaque,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
78,Carnarvon,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
79,Kachug,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
80,Komsomolskiy,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
81,Yellowknife,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
82,San Pedro Del Pinatar,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
83,Bucerias,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
84,Punta Arenas,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
85,Kapaa,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
86,Georgetown,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
87,Ust-Omchug,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
88,Victoria,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
89,Adrar,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
90,Bluff,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
91,Fortuna,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
92,Saint Anthony,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
93,Nouadhibou,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
94,Salalah,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
95,Jamestown,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
96,Kjollefjord,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
97,Khatanga,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
98,Bengkulu,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
99,Airai,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
100,Iraklion,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
101,Seymchan,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
102,Bourail,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
103,San Jose,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
104,Galle,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
105,Ceres,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
106,Tazovskiy,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
107,Kitui,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
108,Codrington,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
109,Vostok,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
110,Ilulissat,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
111,Waingapu,NA,2021-05-18 16:26:13,-26.6481,15.1594,66.2,58,2,5.3
